instancia,n,minLower,minUpper,minDigit,minSymbol,estado,nodos_visitados_con_poda,nodos_sin_poda,soluciones,tiempo_ms_con_poda,tiempo_ms_sin_poda,horas_estimadas_peor_caso
"Barrido n=4",4,2,1,1,1,completo,1,20456441,0,0.003794,1267.96,-1
"Barrido n=5",5,2,1,1,1,parcial,50000001,1370581548,45862064,8013.67,-1,0.0610189
"Barrido n=6",6,2,1,1,1,parcial,50000001,91828963717,46087993,7814.83,-1,3.98682
"Barrido n=7",7,2,1,1,1,parcial,50000001,6152540569040,46163863,7700.42,-1,263.206
"Referencia",6,2,1,1,1,parcial,50000001,91828963717,46087993,7857.56,-1,4.00862
"1. Politica completa",8,2,1,1,1,parcial,50000001,412220218125681,46163862,7708.25,-1,17652.8
"2. Politica completa n=6",6,2,1,1,1,parcial,50000001,91828963717,46087993,7792.44,-1,3.9754
"3. Politica completa n=10",10,2,1,1,1,parcial,50000001,1850456559166182077,46163860,7619.03,-1,7.8326e+07
"4. Politica relajada",8,1,0,0,0,parcial,50000001,412220218125681,49242418,3578.61,-1,8195.41
"5. Sin restricciones (poda nula)",6,0,0,0,0,parcial,50000001,91828963717,49242420,3535.09,-1,1.80347
